millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
61203,180,199,149,263,272,-4.16,-5.3,8.55
61303,179,198,147,260,269,-4.12,-5.22,8.67
61403,179,199,148,259,271,-4.28,-5.26,8.63
61503,182,201,149,264,274,-4.28,-5.3,8.63
61603,183,200,150,264,274,-4.39,-5.22,8.67
61703,182,201,151,265,274,-4.2,-5.33,8.9
61803,183,203,150,265,274,-4.24,-5.18,8.55
61903,182,201,152,266,276,-4.16,-5.26,8.47
62003,185,202,151,265,275,-4,-5.18,8.59
62103,183,202,152,267,276,-4.2,-5.26,8.55
62203,187,200,151,267,273,-4.24,-5.26,8.63
62303,184,204,152,266,276,-4.2,-5.33,8.63
62403,186,201,151,265,277,-4.2,-5.14,8.47
62503,184,203,150,266,275,-4.35,-5.18,8.55
62603,185,203,148,264,274,-4.04,-5.3,8.43
62703,183,202,150,263,274,-4.16,-5.3,8.47
62803,181,202,150,265,275,-4,-5.33,8.63
62903,182,199,150,265,274,-4.16,-5.22,8.59
63003,181,195,149,264,274,-4.31,-5.26,8.55
63104,181,200,149,264,274,-4.08,-5.33,8.67
63203,181,200,149,264,273,-4.24,-5.1,8.79
63303,180,200,149,264,273,-4.08,-5.3,8.51
63404,181,200,149,264,273,-4.31,-5.26,8.71
63503,181,200,149,263,274,-4.12,-5.37,8.59
63603,181,200,149,264,273,-4.24,-5.22,8.43
63803,181,200,149,264,271,-4.04,-5.41,8.36
63903,180,202,148,265,273,-4.2,-5.26,8.79
64003,181,199,149,264,275,-4.16,-5.33,8.59
64103,181,201,150,263,273,-4.2,-5.22,8.36
64203,180,199,149,263,273,-4.16,-5.14,8.39
64303,181,200,147,262,273,-4.12,-5.3,8.94
64403,180,197,148,262,272,-4.2,-5.3,8.71
64503,181,199,148,263,272,-4.28,-5.14,8.63
64603,178,198,147,259,269,-4.39,-5.22,8.83
64703,180,199,148,262,271,-4.28,-5.3,8.47
64803,182,199,149,262,271,-4.04,-5.3,8.59
64903,181,199,149,263,272,-4.08,-5.26,8.36
65003,183,201,148,262,272,-4.12,-5.3,8.51
65103,173,188,141,247,254,-4.39,-5.18,8.51
65203,172,189,141,247,256,-4.31,-5.18,8.59
65303,173,189,141,249,256,-4.04,-5.22,8.63
65403,170,187,141,249,257,-4.24,-5.22,8.63
65503,174,185,142,248,254,-4.28,-5.22,8.75
65603,170,187,140,248,257,-4.16,-5.3,8.43
65703,171,189,140,247,256,-4.08,-5.22,8.55
65803,169,187,140,246,256,-4.2,-5.26,8.71
65903,161,187,140,246,256,-4.16,-5.26,8.71
66003,168,186,139,246,254,-4.28,-5.22,8.59
66103,169,186,139,246,254,-4.16,-5.18,8.55
66203,169,187,139,247,256,-4.28,-5.14,8.47
66304,168,187,140,247,256,-4.12,-5.22,8.67
66403,168,187,139,245,253,-4.04,-5.33,8.47
66503,168,186,138,247,255,-3.92,-5.22,8.51
66604,169,186,139,246,255,-4.12,-5.26,8.71
66703,169,186,139,246,254,-4.31,-5.22,8.75
66803,177,197,146,260,269,-4,-5.22,8.47
67003,177,198,146,258,266,-4.08,-5.49,8.75
67103,176,198,148,261,270,-4.08,-5.37,8.79
67203,178,195,149,258,271,-4.16,-5.14,8.87
67303,179,197,148,259,269,-4.35,-5.26,8.79
67403,177,197,148,260,270,-4.24,-5.14,8.71
67503,178,198,147,260,269,-4.2,-5.3,8.67
67603,179,197,147,260,270,-4.16,-5.22,8.75
67703,179,194,148,260,269,-4.31,-5.18,8.67
67803,178,197,148,259,268,-4.35,-5.18,9.1
67903,177,196,147,259,267,-4.16,-5.22,8.51
68003,179,195,149,261,267,-4.12,-5.18,8.51
68103,178,197,148,260,268,-4.04,-5.18,8.51
68203,180,197,146,258,266,-4.39,-5.18,8.55
68303,180,199,148,258,266,-4.31,-5.18,8.71
68403,179,200,147,259,269,-4.31,-5.14,8.59
68503,181,198,148,258,269,-4.12,-5.22,8.63
68603,178,195,148,256,269,-4,-5.22,8.71
68703,179,196,149,259,266,-4.28,-5.18,8.59
68803,178,197,145,257,267,-4.31,-5.14,8.75
68903,178,197,147,259,268,-4.08,-5.26,8.51
69003,179,197,146,259,270,-3.96,-5.26,8.47
69103,178,196,146,258,268,-4.04,-5.26,8.63
69203,177,194,145,258,266,-4.2,-5.14,8.39
69303,177,194,146,257,266,-4.35,-5.18,8.75
69403,177,194,146,258,266,-4.16,-5.22,8.55
69504,175,194,145,256,265,-4.31,-5.22,8.43
69603,176,195,143,257,267,-4.24,-5.18,8.51
69703,174,193,145,256,264,-4.16,-5.3,8.63
69804,176,195,146,258,268,-4.2,-5.22,8.55
69903,175,193,144,256,264,-4.35,-5.22,8.63
70003,176,195,145,257,266,-4.28,-5.22,8.79
70203,180,197,149,263,273,-4.28,-5.37,8.63
70303,179,199,145,261,271,-4.2,-5.26,8.63
70403,179,200,147,260,271,-4.2,-5.26,8.47
70503,180,200,148,262,272,-4.12,-5.26,8.59
70603,180,200,145,263,273,-4.16,-5.26,8.55
70703,181,200,149,263,272,-4.08,-5.14,8.36
70803,181,198,150,263,272,-4.24,-5.26,8.79
70903,181,200,149,263,273,-4.35,-5.49,8.71
71003,181,200,148,262,272,-4.16,-5.14,8.67
71103,180,198,148,262,271,-4.2,-5.14,8.43
71203,173,189,141,248,256,-4.2,-5.26,8.79
71303,182,200,151,262,272,-4.31,-5.14,8.67
71403,183,201,149,261,271,-4.16,-5.22,8.75
71503,173,192,140,248,256,-4.24,-5.14,8.67
71603,173,190,142,249,259,-4.35,-5.14,8.83
71703,180,199,147,261,271,-4.35,-5.1,8.51
71803,180,200,152,263,272,-4.12,-5.18,8.71
71903,181,199,149,260,271,-4.04,-5.26,8.2
72003,181,200,149,263,272,-4.31,-5.18,8.51
72103,181,200,149,261,271,-4.24,-5.3,8.59
72203,182,199,149,262,272,-4.24,-5.14,8.75
72303,181,199,151,263,271,-4.31,-5.18,8.67
72403,181,201,149,262,270,-4.16,-5.18,8.83
72503,180,198,149,262,271,-4.24,-5.26,8.63
72603,179,198,148,257,271,-4.28,-5.14,8.55
72704,177,198,148,262,271,-4.12,-5.22,8.55
72803,176,198,147,262,271,-4.24,-5.18,8.71
72903,179,198,145,262,272,-4.04,-5.22,8.59
