Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z,Label
279,347,330,360,242,2.08,-10.2,-1.61,3
286,355,337,365,260,2.08,-10.04,-1.96,3
284,356,337,362,257,2.16,-10,-2.2,3
283,351,334,357,255,1.84,-10.04,-2.12,3
281,349,333,355,255,1.8,-10.08,-1.88,3
277,345,330,351,252,1.77,-10.08,-1.96,3
271,338,324,339,248,1.53,-10.32,-1.22,3
260,331,317,334,247,1.65,-10.36,-0.78,3
240,254,275,290,230,1.14,-10.36,-0.47,3
226,201,231,238,205,0.67,-10.79,0.12,0
219,190,210,215,192,0.16,-10.87,0.78,0
218,187,205,200,193,0.12,-10.67,1.1,0
218,187,205,199,194,0.2,-10.71,1.57,0
218,187,205,198,198,0.35,-10.71,2.55,0
218,187,206,199,204,0,-10.75,2.24,0
218,187,206,199,210,0.04,-10.71,2.55,0
218,187,207,199,211,-0.08,-10.67,2.35,0
217,187,207,199,199,-0.08,-10.67,2.31,0
217,187,207,199,194,-0.2,-10.67,2.28,0
217,187,208,199,194,-0.2,-10.67,2.28,0
217,187,208,199,194,-0.04,-10.79,2.31,0
214,191,218,243,201,-0.98,-10.51,3.22,0
215,191,216,237,202,-0.98,-10.55,2.35,0
214,191,213,225,194,-0.98,-10.55,2.12,0
214,191,212,221,193,-0.2,-10.55,2.94,0
214,191,212,219,198,-0.59,-10.43,2.82,0
213,192,214,220,192,-0.86,-10.36,3.69,0
215,189,212,217,191,-0.43,-10.4,3.26,0
213,187,206,209,196,-0.24,-10.36,3.65,1
214,187,206,207,190,-0.43,-10.55,3.18,1
215,211,229,246,194,-0.63,-10.32,3.53,1
213,298,301,332,244,-0.27,-10.2,3.77,1
213,351,346,384,287,-0.63,-10.36,3.96,1
212,367,362,398,316,-0.39,-10.4,4.12,1
211,378,371,411,327,-0.55,-10.2,4.16,1
210,380,373,410,334,-0.47,-10.4,4.31,1
210,377,371,408,331,-0.51,-10.32,4.35,1
209,375,370,404,328,-0.59,-10.12,4.35,1
210,341,346,377,299,-0.71,-10.43,3.96,1
211,246,276,298,229,-0.39,-10.36,3.69,1
212,202,221,230,195,-0.24,-10.55,2.98,2
215,189,205,205,188,0.12,-10.67,2.82,2
218,187,201,201,188,0.04,-10.83,2.71,2
216,187,200,201,193,-0.04,-10.9,2.71,2
225,186,199,200,197,0.04,-10.63,2.86,2
239,185,199,198,198,0.2,-10.55,3.02,2
258,185,199,195,198,0.12,-10.51,2.9,2
252,185,198,195,197,0.12,-10.55,2.82,2
250,185,198,195,197,0.16,-10.63,2.71,2
246,185,199,196,195,-0.04,-10.55,2.79,2
242,222,236,251,202,0.04,-10.55,1.73,3
245,249,270,288,210,0.71,-10.51,0.51,3
249,283,298,332,262,0.94,-10.63,-0.43,3
274,311,310,345,272,1.45,-10.47,-1.02,3
283,322,315,350,284,1.18,-10.51,-1.1,3
281,321,317,349,289,1.41,-10.32,-1.06,3
279,319,316,348,274,1.14,-10.43,-1.29,3
277,319,317,345,268,1.26,-10.32,-1.14,3
242,306,309,333,266,0.98,-10.47,-0.51,3
223,247,273,283,244,0.43,-10.79,0.27,3
220,199,225,229,199,0.12,-10.87,1.26,3
220,189,206,209,192,-0.04,-10.71,1.77,0
216,183,199,199,192,0,-10.63,1.77,0
217,183,198,198,186,-0.39,-10.71,2.12,0
217,184,199,200,187,-0.31,-10.63,2.39,0
216,183,199,199,186,-0.08,-10.63,1.92,0
217,184,200,197,194,-0.12,-10.67,2.28,0
216,184,200,198,190,0,-10.63,2.2,0
216,184,200,235,190,0,-10.55,2.24,0
213,182,197,195,189,-0.27,-10.75,2.08,0
213,182,198,200,193,-0.2,-10.67,2.63,0
213,181,197,195,192,0,-10.67,2.55,0
212,181,197,197,192,-0.12,-10.67,2.39,0
213,182,198,195,192,-0.04,-10.67,2.51,0
213,181,198,195,194,-0.16,-10.71,2.43,0
212,181,197,195,191,-0.16,-10.63,2.43,0
213,193,221,199,214,0.16,-10.59,1.65,0
213,193,221,199,197,-0.82,-10.75,2.2,0
213,193,221,199,200,-0.12,-10.59,1.92,0
214,194,217,199,198,0.08,-10.55,2.98,0
214,194,215,199,196,0.04,-10.59,2.47,0
213,194,215,287,195,0,-10.63,2.9,0
214,194,215,230,194,0.04,-10.63,2.59,0
214,194,215,229,195,0.16,-10.63,2.75,0
213,193,215,230,197,0,-10.55,2.75,1
214,193,216,233,197,0,-10.55,3.06,1
213,199,235,259,240,-0.16,-10.55,2.98,1
213,266,289,327,260,0.04,-10.47,3.45,1
214,333,341,386,280,-0.39,-10.36,3.49,1
212,373,369,423,300,-0.35,-10.75,3.45,1
211,382,377,427,338,-0.35,-10.36,3.69,1
209,385,380,426,346,-0.08,-10.4,3.84,1
209,382,377,423,343,-0.31,-10.36,4,1
209,378,374,418,339,-0.24,-10.36,3.84,1
209,321,332,372,327,-0.47,-10.2,3.37,1
210,231,253,272,215,-0.31,-10.4,3.49,2
215,196,212,218,191,0.08,-10.59,2.86,2
225,189,202,203,187,0.31,-10.67,2.55,2
234,187,200,199,187,0.16,-10.71,2.67,2
259,186,199,200,190,0.12,-10.63,2.86,2
273,186,198,199,193,0.04,-10.55,3.06,2
271,186,199,200,194,-0.04,-10.55,3.3,2
263,186,199,199,195,0.12,-10.59,2.98,2
247,188,199,196,193,0.31,-10.59,2.94,2
232,226,240,253,202,0.16,-10.59,2.86,2
246,273,282,308,213,0.94,-10.67,1.8,3
273,311,304,338,227,1.45,-10.67,1.29,3
291,330,320,356,270,2,-10.51,0.12,3
298,341,335,363,257,1.92,-10.59,-0.04,3
297,340,334,360,256,1.84,-10.43,-0.04,3
295,337,332,356,256,1.8,-10.67,-0.12,3
283,323,315,336,238,1.69,-10.55,0.12,3
262,298,298,321,245,1.61,-10.67,0.71,3
222,253,269,288,236,0.86,-10.79,1.53,3
216,202,230,239,232,0.16,-10.79,2.39,3
212,187,206,213,188,0.12,-10.59,2.2,3
217,186,202,206,187,0,-10.67,2.2,3
215,184,198,200,187,-0.08,-10.63,2.43,0
216,183,197,198,186,0,-10.55,2.59,0
217,182,197,198,186,-0.08,-10.63,2.82,0
216,183,197,197,186,-0.12,-10.59,2.94,0
216,182,197,196,185,0.04,-10.63,3.22,0
216,182,197,194,185,0.24,-10.59,2.86,0
216,182,197,194,185,0.16,-10.63,2.98,0
215,182,197,197,185,0.04,-10.47,2.9,0
216,183,197,194,185,0.2,-10.55,3.49,0
215,182,198,196,185,0,-10.55,3.33,0
215,181,198,199,186,0.24,-10.55,3.37,0
215,182,198,199,186,0,-10.63,3.1,0
214,181,197,199,185,0.04,-10.55,3.22,0
214,181,198,199,186,0.08,-10.55,3.18,0
214,181,198,199,186,0.24,-10.51,3.14,0
215,181,198,199,186,0.08,-10.55,3.1,0
218,191,241,199,199,-0.67,-10.59,0.08,0
217,190,240,199,199,0.24,-10.55,-0.24,0
217,190,240,199,199,0.12,-10.63,0.43,0
217,189,238,250,208,0.43,-10.75,1.8,0
217,189,237,244,205,0.75,-10.55,2.24,0
217,190,230,285,203,0.47,-10.79,1.96,0
217,190,224,255,199,0.16,-10.75,2.63,0
217,189,224,235,199,0.55,-10.71,3.06,1
217,190,222,232,203,0.08,-10.59,2.98,1
217,190,223,234,193,0.2,-10.47,3.33,1
216,206,252,273,225,0.12,-10.47,3.49,1
215,282,289,313,237,-0.12,-10.28,3.73,1
214,327,326,367,268,-0.51,-10.28,3.49,1
212,361,349,402,311,-0.78,-10.47,3.22,1
211,375,362,419,337,-0.63,-10.43,3.41,1
211,377,366,421,346,-0.47,-10.36,3.53,1
210,377,366,419,350,-0.51,-10.55,3.53,1
210,375,365,418,345,-0.51,-10.43,3.3,1
209,372,365,416,344,-0.51,-10.43,3.49,1
209,366,360,411,342,-0.51,-10.36,3.49,1
211,288,318,361,300,-0.75,-10.43,3.77,2
217,226,246,297,202,-0.16,-10.47,3.1,2
241,222,230,240,193,-0.16,-10.71,2.16,2
267,221,231,240,193,-0.04,-10.79,2.35,2
297,211,223,233,192,0,-10.63,2.55,2
303,206,217,228,190,0.2,-10.63,2.51,2
299,204,217,230,193,0.16,-10.63,2.63,2
297,191,208,223,190,0.27,-10.63,2.51,2
295,187,202,214,190,0.31,-10.63,2.59,2
294,186,201,213,190,0.27,-10.67,2.55,2
278,186,202,211,190,0.04,-10.75,2.55,3
235,191,213,225,191,0.08,-10.67,2.35,3
227,229,246,256,198,0.12,-10.71,2.04,3
232,278,283,310,267,0.55,-10.71,0.98,3
249,298,294,320,232,1.29,-10.63,0,3
269,308,299,333,231,1.45,-10.51,-0.35,3
277,319,306,339,232,1.37,-10.51,-0.78,3
277,324,313,347,255,1.77,-10.32,-1.18,3
276,324,312,345,248,1.53,-10.36,-1.02,3
275,327,312,344,264,1.37,-10.47,-0.86,3
274,322,311,343,257,1.45,-10.43,-0.9,3
257,299,301,331,238,0.98,-10.63,-0.43,3
234,197,294,319,222,0.55,-10.59,0.08,4
243,194,324,417,255,0.63,-10.43,-0.04,4
260,190,328,390,274,0.51,-10.63,-0.04,4
270,186,327,399,286,0.86,-10.51,-0.2,4
271,185,326,356,282,0.82,-10.55,-0.35,4
274,185,326,353,273,1.14,-10.59,-0.2,4
274,184,325,346,263,1.06,-10.63,-0.16,4
274,184,325,347,262,1.06,-10.59,-0.2,4
274,184,325,345,262,1.06,-10.55,-0.24,4
273,184,324,347,262,1.18,-10.59,-0.2,4
250,184,322,405,262,0.94,-10.63,0.04,4
232,184,306,329,266,0.9,-10.63,0.27,4
227,184,271,285,256,0.43,-10.79,0.55,4
225,186,226,238,215,0.2,-10.79,1.02,4
223,184,207,213,190,0.12,-10.79,0.98,0
222,185,201,206,183,0.12,-10.79,1.65,0
222,185,200,205,183,0.2,-10.67,0.94,0
220,186,201,204,184,0.16,-10.79,1.45,0
217,185,200,199,183,0.35,-10.67,1.33,0
217,185,201,199,184,0.43,-10.79,1.8,0
217,185,201,199,184,0.04,-10.79,1.57,0
217,185,201,199,185,0.08,-10.75,1.73,0
217,185,202,199,191,0.12,-10.71,1.61,0
217,184,202,199,197,0.08,-10.87,1.8,0
217,185,202,199,196,-0.04,-10.75,1.8,0
214,195,211,199,187,0.27,-10.79,1.53,0
214,195,212,199,188,-0.12,-10.79,2.28,0
214,195,212,199,187,-0.08,-10.79,1.22,0
214,194,212,199,188,1.02,-10.67,1.37,0
214,194,212,199,199,0.75,-10.75,1.73,0
214,195,213,199,195,0.9,-10.83,1.57,0
214,195,215,223,196,1.18,-10.51,2.12,0
213,196,216,231,219,0.35,-10.67,2.51,0
209,193,213,227,213,0.63,-10.79,1.45,0
212,196,216,230,227,0.39,-10.71,2.31,0
213,196,217,229,218,0.08,-10.75,2.04,0
213,196,217,229,215,0.59,-10.63,2.04,0
213,196,217,228,213,0.24,-10.87,2,0
214,192,210,220,205,0.43,-10.79,2.35,0
213,191,208,216,201,0.35,-10.63,2.39,0
213,190,208,215,195,0.35,-10.79,2.2,1
213,193,214,226,192,0.24,-10.71,2.35,1
213,228,256,282,209,0.63,-10.67,2.16,1
213,278,302,332,248,0.24,-10.59,2.55,1
212,331,338,374,293,0.16,-10.79,2.71,1
210,358,358,400,335,0.04,-10.67,2.82,1
209,366,364,407,353,0,-10.43,3.02,1
209,367,367,410,359,0,-10.55,3.02,1
208,366,366,410,357,0.04,-10.51,3.14,1
208,364,364,406,352,0,-10.51,3.1,1
209,362,362,403,347,0.08,-10.55,3.1,1
210,290,312,342,267,0.16,-10.47,2.12,1
215,232,251,272,208,-0.08,-10.79,2.2,2
227,214,226,240,191,0.08,-10.79,2.28,2
250,201,214,227,188,0.2,-10.71,2.35,2
273,195,207,219,185,0.27,-10.67,2.51,2
285,190,200,210,182,0.43,-10.71,2.55,2
276,189,200,210,183,0.71,-10.79,2.47,2
288,192,206,215,189,0.63,-10.71,2.39,2
292,193,205,219,190,0.67,-10.63,2.59,2
289,189,200,217,190,0.75,-10.63,2.43,2
289,188,200,216,190,0.67,-10.59,2.51,2
286,188,201,214,190,0.71,-10.63,2.59,2
273,188,201,208,189,0.63,-10.59,2.35,2
234,198,215,224,191,0.2,-10.63,2.67,3
225,239,251,252,199,0.51,-10.75,2.24,3
225,261,271,276,205,0.94,-10.67,1.61,3
253,303,300,315,226,1.14,-10.71,1.29,3
274,326,315,335,239,1.53,-10.67,0.75,3
288,340,327,355,257,1.22,-10.67,0.71,3
284,333,324,347,254,1.37,-10.79,0.9,3
282,332,323,344,252,1.26,-10.71,0.94,3
281,328,322,343,251,1.22,-10.83,0.71,3
279,325,319,341,249,1.14,-10.71,0.75,3
272,320,314,333,247,1.1,-10.71,0.82,3
253,259,299,321,238,0.9,-10.87,1.26,3
246,216,303,326,246,0.9,-10.87,1.02,4
250,191,320,356,262,1.1,-10.59,1.06,4
251,187,318,351,269,1.1,-10.71,0.59,4
251,185,317,348,279,1.22,-10.79,0.27,4
257,186,318,353,296,0.78,-10.75,0.67,4
260,185,319,353,296,1.02,-10.75,0.43,4
261,185,319,353,290,1.02,-10.75,0.51,4
262,185,319,351,288,1.02,-10.71,0.43,4
264,184,319,353,287,0.98,-10.67,0.47,4
251,183,314,343,286,0.82,-10.79,0.75,4
226,182,274,295,264,0.27,-10.83,1.14,4
224,187,230,237,201,0.2,-10.55,1.57,4
223,186,207,216,186,0.31,-10.79,1.88,4
222,184,202,204,184,0.16,-10.67,1.8,0
221,183,199,200,185,0.12,-10.71,1.77,0
